2021-07-11 06:02:17 install libp11-kit0:amd64 <none> 0.23.15-2+deb10u1
2021-07-11 06:02:17 status half-installed libp11-kit0:amd64 0.23.15-2+deb10u1
2021-07-11 06:02:18 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2021-07-11 06:02:19 install libpam-modules:amd64 <none> 1.3.1-5
2021-07-11 06:02:19 status half-installed libpam-modules:amd64 1.3.1-5
2021-07-11 06:02:28 status unpacked libpam-modules:amd64 1.3.1-5
2021-07-11 06:02:29 install libpam-modules-bin:amd64 <none> 1.3.1-5
2021-07-11 06:02:29 status half-installed libpam-modules-bin:amd64 1.3.1-5
2021-07-11 06:02:30 status unpacked libpam-modules-bin:amd64 1.3.1-5
2021-07-11 06:02:31 install libpam-runtime:all <none> 1.3.1-5
2021-07-11 06:02:31 status half-installed libpam-runtime:all 1.3.1-5
2021-07-11 06:02:41 status unpacked libpam-runtime:all 1.3.1-5
2021-07-11 06:02:41 install libpam0g:amd64 <none> 1.3.1-5
2021-07-11 06:02:41 status half-installed libpam0g:amd64 1.3.1-5
2021-07-11 06:02:43 status unpacked libpam0g:amd64 1.3.1-5
2021-07-11 06:02:43 install libpcre3:amd64 <none> 2:8.39-12
2021-07-11 06:02:43 status half-installed libpcre3:amd64 2:8.39-12
2021-07-11 06:02:45 status unpacked libpcre3:amd64 2:8.39-12
2021-07-11 06:02:45 upgrade perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-07-11 06:02:45 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 06:02:45 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 06:02:45 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 06:03:19 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-07-11 06:03:20 install sed:amd64 <none> 4.7-1
2021-07-11 06:03:20 status half-installed sed:amd64 4.7-1
2021-07-11 06:03:25 status unpacked sed:amd64 4.7-1
2021-07-11 06:03:25 install login:amd64 <none> 1:4.5-1.1
2021-07-11 06:03:25 status half-installed login:amd64 1:4.5-1.1
2021-07-11 06:03:38 status unpacked login:amd64 1:4.5-1.1
2021-07-11 06:03:38 install passwd:amd64 <none> 1:4.5-1.1
2021-07-11 06:03:38 status half-installed passwd:amd64 1:4.5-1.1
2021-07-11 06:04:06 status unpacked passwd:amd64 1:4.5-1.1
2021-07-11 06:04:07 install libsystemd0:amd64 <none> 241-7~deb10u7
2021-07-11 06:04:07 status half-installed libsystemd0:amd64 241-7~deb10u7
2021-07-11 06:04:08 status unpacked libsystemd0:amd64 241-7~deb10u7
2021-07-11 06:04:09 install libudev1:amd64 <none> 241-7~deb10u7
2021-07-11 06:04:09 status half-installed libudev1:amd64 241-7~deb10u7
2021-07-11 06:04:10 status unpacked libudev1:amd64 241-7~deb10u7
2021-07-11 06:04:10 install sysvinit-utils:amd64 <none> 2.93-8
2021-07-11 06:04:10 status half-installed sysvinit-utils:amd64 2.93-8
2021-07-11 06:04:12 status unpacked sysvinit-utils:amd64 2.93-8
2021-07-11 06:04:12 install tar:amd64 <none> 1.30+dfsg-6
2021-07-11 06:04:12 status half-installed tar:amd64 1.30+dfsg-6
2021-07-11 06:04:18 status unpacked tar:amd64 1.30+dfsg-6
2021-07-11 06:04:19 install tzdata:all <none> 2021a-0+deb10u1
2021-07-11 06:04:19 status half-installed tzdata:all 2021a-0+deb10u1
2021-07-11 06:04:46 status unpacked tzdata:all 2021a-0+deb10u1
2021-07-11 06:04:47 install bsdutils:amd64 <none> 1:2.33.1-0.1
2021-07-11 06:04:47 status half-installed bsdutils:amd64 1:2.33.1-0.1
2021-07-11 06:04:49 status unpacked bsdutils:amd64 1:2.33.1-0.1
2021-07-11 06:04:52 install fdisk:amd64 <none> 2.33.1-0.1
2021-07-11 06:04:52 status half-installed fdisk:amd64 2.33.1-0.1
2021-07-11 06:04:53 status unpacked fdisk:amd64 2.33.1-0.1
2021-07-11 06:04:54 install libblkid1:amd64 <none> 2.33.1-0.1
2021-07-11 06:04:54 status half-installed libblkid1:amd64 2.33.1-0.1
2021-07-11 06:04:55 status unpacked libblkid1:amd64 2.33.1-0.1
2021-07-11 06:04:56 install libfdisk1:amd64 <none> 2.33.1-0.1
2021-07-11 06:04:56 status half-installed libfdisk1:amd64 2.33.1-0.1
2021-07-11 06:04:56 status unpacked libfdisk1:amd64 2.33.1-0.1
2021-07-11 06:04:57 install libmount1:amd64 <none> 2.33.1-0.1
2021-07-11 06:04:57 status half-installed libmount1:amd64 2.33.1-0.1
2021-07-11 06:04:58 status unpacked libmount1:amd64 2.33.1-0.1
2021-07-11 06:04:59 install libsmartcols1:amd64 <none> 2.33.1-0.1
2021-07-11 06:04:59 status half-installed libsmartcols1:amd64 2.33.1-0.1
2021-07-11 06:05:00 status unpacked libsmartcols1:amd64 2.33.1-0.1
2021-07-11 06:05:01 install libuuid1:amd64 <none> 2.33.1-0.1
2021-07-11 06:05:01 status half-installed libuuid1:amd64 2.33.1-0.1
2021-07-11 06:05:01 status unpacked libuuid1:amd64 2.33.1-0.1
2021-07-11 06:05:02 install mount:amd64 <none> 2.33.1-0.1
2021-07-11 06:05:02 status half-installed mount:amd64 2.33.1-0.1
2021-07-11 06:05:05 status unpacked mount:amd64 2.33.1-0.1
2021-07-11 06:05:05 install util-linux:amd64 <none> 2.33.1-0.1
2021-07-11 06:05:05 status half-installed util-linux:amd64 2.33.1-0.1
2021-07-11 06:05:35 status unpacked util-linux:amd64 2.33.1-0.1
2021-07-11 06:05:35 install liblzma5:amd64 <none> 5.2.4-1
2021-07-11 06:05:35 status half-installed liblzma5:amd64 5.2.4-1
2021-07-11 06:05:37 status unpacked liblzma5:amd64 5.2.4-1
2021-07-11 06:05:37 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2021-07-11 06:05:37 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2021-07-11 06:05:38 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2021-07-11 06:05:39 startup packages configure
2021-07-11 06:05:39 configure debian-archive-keyring:all 2019.1+deb10u1 <none>
2021-07-11 06:05:39 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2021-07-11 06:05:40 status half-configured debian-archive-keyring:all 2019.1+deb10u1
2021-07-11 06:05:40 status installed debian-archive-keyring:all 2019.1+deb10u1
2021-07-11 06:05:40 configure libaudit-common:all 1:2.8.4-3 <none>
2021-07-11 06:05:40 status unpacked libaudit-common:all 1:2.8.4-3
2021-07-11 06:05:40 status half-configured libaudit-common:all 1:2.8.4-3
2021-07-11 06:05:40 status installed libaudit-common:all 1:2.8.4-3
2021-07-11 06:05:40 configure libsemanage-common:all 2.8-2 <none>
2021-07-11 06:05:40 status unpacked libsemanage-common:all 2.8-2
2021-07-11 06:05:40 status half-configured libsemanage-common:all 2.8-2
2021-07-11 06:05:41 status installed libsemanage-common:all 2.8-2
2021-07-11 06:05:41 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2021-07-11 06:05:41 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-11 06:05:41 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-11 06:05:41 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-07-11 06:05:41 configure gcc-8-base:amd64 8.3.0-6 <none>
2021-07-11 06:05:41 status unpacked gcc-8-base:amd64 8.3.0-6
2021-07-11 06:05:42 status half-configured gcc-8-base:amd64 8.3.0-6
2021-07-11 06:05:42 status installed gcc-8-base:amd64 8.3.0-6
2021-07-11 06:05:42 configure libc6:amd64 2.28-10 <none>
2021-07-11 06:05:42 status unpacked libc6:amd64 2.28-10
2021-07-11 06:05:42 status half-configured libc6:amd64 2.28-10
2021-07-11 06:05:43 status installed libc6:amd64 2.28-10
2021-07-11 06:05:44 configure libudev1:amd64 241-7~deb10u7 <none>
2021-07-11 06:05:44 status unpacked libudev1:amd64 241-7~deb10u7
2021-07-11 06:05:44 status half-configured libudev1:amd64 241-7~deb10u7
2021-07-11 06:05:44 status installed libudev1:amd64 241-7~deb10u7
2021-07-11 06:05:44 configure libsepol1:amd64 2.8-1 <none>
2021-07-11 06:05:44 status unpacked libsepol1:amd64 2.8-1
2021-07-11 06:05:44 status half-configured libsepol1:amd64 2.8-1
2021-07-11 06:05:44 status installed libsepol1:amd64 2.8-1
2021-07-11 06:05:45 configure libattr1:amd64 1:2.4.48-4 <none>
2021-07-11 06:05:45 status unpacked libattr1:amd64 1:2.4.48-4
2021-07-11 06:05:45 status half-configured libattr1:amd64 1:2.4.48-4
2021-07-11 06:05:45 status installed libattr1:amd64 1:2.4.48-4
2021-07-11 06:05:45 configure libtasn1-6:amd64 4.13-3 <none>
2021-07-11 06:05:45 status unpacked libtasn1-6:amd64 4.13-3
2021-07-11 06:05:45 status half-configured libtasn1-6:amd64 4.13-3
2021-07-11 06:05:45 status installed libtasn1-6:amd64 4.13-3
2021-07-11 06:05:46 configure debianutils:amd64 4.8.6.1 <none>
2021-07-11 06:05:46 status unpacked debianutils:amd64 4.8.6.1
2021-07-11 06:05:46 status half-configured debianutils:amd64 4.8.6.1
2021-07-11 06:05:46 status installed debianutils:amd64 4.8.6.1
2021-07-11 06:05:46 configure mawk:amd64 1.3.3-17+b3 <none>
2021-07-11 06:05:46 status unpacked mawk:amd64 1.3.3-17+b3
2021-07-11 06:05:46 status half-configured mawk:amd64 1.3.3-17+b3
2021-07-11 06:05:46 status installed mawk:amd64 1.3.3-17+b3
2021-07-11 06:05:47 configure libdebconfclient0:amd64 0.249 <none>
2021-07-11 06:05:47 status unpacked libdebconfclient0:amd64 0.249
2021-07-11 06:05:47 status half-configured libdebconfclient0:amd64 0.249
2021-07-11 06:05:47 status installed libdebconfclient0:amd64 0.249
2021-07-11 06:05:47 configure base-files:amd64 10.3+deb10u10 <none>
2021-07-11 06:05:47 status unpacked base-files:amd64 10.3+deb10u10
2021-07-11 06:05:48 status half-configured base-files:amd64 10.3+deb10u10
2021-07-11 06:05:48 status installed base-files:amd64 10.3+deb10u10
2021-07-11 06:05:48 configure libbz2-1.0:amd64 1.0.6-9.2~deb10u1 <none>
2021-07-11 06:05:48 status unpacked libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-07-11 06:05:48 status half-configured libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-07-11 06:05:49 status installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
2021-07-11 06:05:49 configure base-passwd:amd64 3.5.46 <none>
2021-07-11 06:05:49 status unpacked base-passwd:amd64 3.5.46
2021-07-11 06:05:49 status half-configured base-passwd:amd64 3.5.46
2021-07-11 06:05:49 status installed base-passwd:amd64 3.5.46
2021-07-11 06:05:49 configure libdb5.3:amd64 5.3.28+dfsg1-0.5 <none>
2021-07-11 06:05:49 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.5
2021-07-11 06:05:50 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.5
